agent,static_accuracy_when_acted,dynamic_accuracy_when_acted,static_unsafe_action_rate,dynamic_unsafe_action_rate,static_constraint_violation_rate,dynamic_constraint_violation_rate,static_coverage,dynamic_coverage,accuracy_gap,unsafe_rate_increase
NaiveAgent,0.74,0.6046666666666667,0.26,0.3953333333333333,0.0,0.6073333333333333,1.0,1.0,0.1353333333333333,0.1353333333333333
ConfidenceThresholdAgent,0.9948453608247423,0.7037037037037037,0.0033333333333333335,0.176,0.0,0.3606666666666667,0.6466666666666666,0.594,0.29114165712103857,0.17266666666666666
RiskGatedAgent,0.9948453608247423,0.8795180722891566,0.0033333333333333335,0.02666666666666667,0.0,0.0,0.6466666666666666,0.22133333333333333,0.11532728853558571,0.023333333333333334
MonitorThenActAgent,0.9904306220095693,0.7421383647798742,0.006666666666666667,0.10933333333333334,0.0,0.17466666666666666,0.6966666666666667,0.424,0.24829225722969517,0.10266666666666667
ConservativeAbstentionAgent,0.9927007299270073,0.9863013698630136,0.0033333333333333335,0.0013333333333333333,0.0,0.0006666666666666666,0.45666666666666667,0.09733333333333333,0.006399360063993664,-0.002
